№,источник,заголовок,дата,текст,фотки,основная фотка
1,http://www.atomstroyexport.ru/journalists/press/8a8e87804a591849a3b8a3eeba12e8fb,"""Территория завтра - твоя территория"" ",2015-10-20 12:31:44,"Экологическая акция телевизионного проекта ""Территория завтра - твоя территория"" прошла в Кстовском районе Нижегородской области 17 октября. В акции приняли участие школьники, чиновники, журналисты и сотрудники компаний – всего более 100 человек. 
В развивающей экологической игре приняли участие 96 учеников и кадетов школы № 6 и города Кстово в возрасте от 10 до 16 лет, после чего отправились на берег реки Кудьма, где к ним у деревни Вишерка присоединились представители департамента спорта и молодежной политики, кстовские журналисты и сотрудники компании ""ЭкоРеал"", которые помогли загрузить мешки с мусором в контейнер и вывезти его на полигон. Общее количество участников акции составило 116 человек.
""Этот участок очень проблемный, - рассказывает учитель химии и экологии Татьяна Сорвачева . - Если раньше пляж был самым удобным и чистым местом для отдыха людей, то теперь наоборот - это одно из самых грязных мест на реке. Значит, виноваты сами люди. Но я даже и представить не могла, что наши ребята с таким энтузиазмом будут убирать оставленный кем-то хлам. Дети для меня по-новому раскрылись"".
""Количество участников акции позволило быстро убрать значительную часть берега реки - мы загрузили в машину ""ЭкоРеала"" 5-6 кубов мусора, - говорит один из организаторов акции Елена Колпакова . - Наша акция позволила этому участку реки уйти чистым в зиму, а значит, весной паводок вынесет меньше прошлогодней грязи"".
Проект ""Территория завтра - твоя территория"" направлен на повышение общей экологической культуры населения Кстовского района. Проект поддерживают ОАО ""Лукойл"", ОАО ""НИАЭП"" и администрация Кстовского муниципального района. Информационную поддержку проекту оказывают телекомпании ННТВ и РСоЭС. Общее количество участников проекта - более 500 человек.",http://atomstroyexport.ru/wps/wcm/connect/ase/ase/resources/09ddcd004a591b62a3d7a3eeba12e8fb/1/skol1.jpg|http://atomstroyexport.ru/wps/wcm/connect/ase/ase/resources/09ddcd004a591b62a3d7a3eeba12e8fb/2/skol2.jpg,
2,http://www.atomstroyexport.ru/journalists/press/8822b70043ad0054be66bf31e4ed6104,10 декабря 2017 года на площадке АЭС «Аккую» состоялась торжественная церемония начала строительства,2017-12-11 10:58:14,"10 декабря 2017 года на площадке АЭС «Аккую» состоялась торжественная церемония начала строительства  в рамках ограниченного разрешения на сооружение (ОРС), выданного Агентством по атомной энергии Турции (ТАЕК). 
 
В мероприятии приняли участие генеральный директор Госкорпорации «Росатом» Алексей Лихачёв и первый заместитель министра энергетики и природных ресурсов Турецкой Республики Фатих Донмез.
Бетонирование основания объектов «ядерного острова» является важным этапом подготовительных работ. В рамках ОРС выполняются строительно-монтажные работы на всех объектах атомной электростанции, за исключением зданий и сооружений, относящихся к безопасности «ядерного острова».
«Сегодня на церемонии присутствуют местные жители, и я, пользуясь случаем, хочу сказать вам: «Спасибо за поддержку!» Росатом принял решение о создании Общественного совета АЭС «Аккую» для постоянного диалога и совместного участия в реализации проекта. Впереди у нас сотрудничество почти на 100 лет, пока станция будет обеспечивать Турцию чистой электроэнергией», - сказал Алексей Лихачёв.
2 декабря 2017 года было завершена подготовка основания фундаментной плиты реакторного здания энергоблока №1 станции. К работам была привлечена турецкая компания, которая завершила их выполнение точно по графику.
Помимо строительных работ на площадке продолжаются мероприятия по мониторингу окружающей среды: на регулярной основе отслеживаются сейсмологические и метеорологические параметры, состояние подземных вод и морской среды. Все работы по сооружению АЭС «Аккую» ведутся согласно турецкому законодательству, при непосредственном участии и согласовании Турецкого агентства по атомной энергии. Генеральный подрядчик проекта – АО АСЭ, входит в Инжиниринговый дивизион Госкорпорации «Росатом» - Группу компаний ASE.
В реализации проекта открываются значительные возможности для турецких поставщиков. По предварительным оценкам, турецкая сторона сможет выполнить порядка 35-40% от всех работ по сооружению АЭС «Аккую», что эквивалентно сумме в 6-8 миллиардов долларов США. Более 350 турецких компаний подали заявки на включение в список потенциальных поставщиков, первые из них уже получили заказы по подготовке инфраструктуры АЭС. На сегодняшний день общая численность персонала на площадке составляет более 300 человек, из которых 90% граждане Турции, привлеченные к работам из близлежащих населенных пунктов Буюкеджели, Силивке, Ташуджу, Айдынжик. Специалисты инженерно-технических служб с высокой квалификацией приглашены на работу из турецких компаний, которые строили крупнейшие энергетические и промышленные объекты Турецкой Республики.
В марте 2018 года АО ""Аккую Нуклеар"" планирует получить лицензию на строительство, после чего состоится бетонирование фундаментной плиты («первый бетон»). Это станет официальным началом сооружения АЭС «Аккую».
 
 
 
 
Для справки:
Проект сооружения первой в Турции АЭС реализуется на основе Межправительственного соглашения, подписанного между Российской Федерацией и Турецкой Республикой в мае 2010 года. 13 октября 2011 года ТАЕК передало АО ""Аккую Нуклеар"" действующую лицензию на площадку, а в ноябре 2013 года утвердило актуализированный основополагающий отчет по площадке, выполненный в рамках условий действия лицензии на площадку применительно к сооружению АЭС «Аккую» установленной мощностью 4 800 МВт. 1 декабря 2014 года Министерство окружающей среды и градостроительства Турецкой Республики утвердило разработанный АО ""Аккую Нуклеар"" отчёт по оценке воздействия на окружающую среду (ОВОС) атомной станции. 9 февраля 2017 года ТАЕК согласовало параметры площадки АЭС «Аккую», после чего 3 марта 2017 года в Агентство была подана заявка на получение лицензии на строительство. 19 октября 2017 года компания АО ""Аккую Нуклеар"" получила от ТАЕК ограниченное разрешение на строительство (ОРС), являющееся первым этапом на пути к получению Лицензии на строительство АЭС. ОРС позволяет приступить к устройству котлована энергоблока №1 до выхода на проектную отметку, устройству основания фундаментной плиты для основных и вспомогательных зданий и сооружений, вертикальной планировке проектной площадки, засыпке бухты Аккую до отметки +10,5 метра, строительству грузовых терминалов «Западный» и «Восточный», сооружению восточного и южного водоотводящих каналов, строительству временных зданий и сооружений, пожарного депо, резервуаров противопожарной воды и противопожарной насосной станции.
АО ""Аккую Нуклеар""  – компания, созданная в 2010 году для реализации проекта по сооружению АЭС «Аккую» на юге Турции в провинции Мерсин. Энергоблоки ВВЭР-1200 АЭС «Аккую» относятся к самым современным разработкам поколения III+ с усиленными системами безопасности, которые соответствуют всем существующим требованиям. Это серийный российский проект атомной электростанции на базе проекта Нововоронежской АЭС-2 (Россия, Воронежская область), первый блок которой введен в эксплуатацию 5 августа 2016 года. После завершения строительства АЭС ""Аккую"" будет вырабатывать около 35 млрд кВт.ч в год. Срок эксплуатации составит минимум 60 лет.
 ",http://atomstroyexport.ru/wps/wcm/connect/ase/ase/resources/70b8108043ad0c87be8cbf31e4ed6104/Akkuyu_10_12_2017.jpeg,
3,http://www.atomstroyexport.ru/journalists/press/d7f055804361d19893aef758732d9c8b,16 апреля в здании Президиума Российской академии наук пройдет Межотраслевой информационно-технологический форум «Многомерная Россия».,2014-03-24 13:32:23," 
 
16 апреля в здании Президиума Российской академии наук пройдет Межотраслевой информационно-технологический форум «Многомерная Россия». Инициатором мероприятия является группа компаний «НЕОЛАНТ» - ведущий российский практик информационного моделирования в ТЭК и государственном секторе с 10-летним опытом. 
 
Объединенная компания ОАО «НИАЭП» - ЗАО АСЭ выступит информационным спонсором Форума. Кроме того, представитель объединенной компании выступит с докладом «Применение инженерных информационных моделей для задач эксплуатации объектов использования атомной энергии».
 
В Форуме «Многомерная Россия» примут участие представители реального сектора экономики, исследовательских организаций в области информационного моделирования, органов государственной власти и местного самоуправления, поставщики программных, аппаратных комплексов и информационных решений, научные работники, преподаватели, студенты, представители СМИ.
 
В программе Форума - пленарные заседания, посвященные инновационным подходам к управлению предприятием и территорией на основе информационного моделирования.
 
На отраслевых площадках пройдут диалоги по темам: «Многомерный атом», «Территория цифрового нефтегаза», «Цифровое государство», а также сессии знакомств. 
 
В рамках Форума будет работать в Технологическая выставка достижений цифрового мира.
 
 
Справка:
 
Объединенная компания ОАО «НИАЭП» - ЗАО «АСЭ» образована в 2012 году решением Госкорпорации «Росатом».
 
Компания является лидером атомного инжинирингового бизнеса, оказывая услуги по проектированию, сооружению и выводу из эксплуатации атомных электростанций, как в России, так и за рубежом и занимая порядка 30% мирового рынка проектирования и сооружения АЭС. Сегодня портфель заказов компании составляет 20 одновременно проектируемых и сооружаемых энергоблоков АЭС в России и за рубежом.
 
Кроме того, компания реализует проекты по строительству объектов для обращения с РАО и ОЯТ, объектов теплоэнергетики, а также оказывает полный спектр услуг EPC, EPC(m) и PMC услуг для любых сложных инженерных объектов. 
 
НИАЭП-АСЭ является разработчиком и активно внедряет инновационную систему управления проектами по сооружению сложных инженерных объектов - Multi-D, позволяющую более эффективно управлять таким параметрами, как: сроки, качество, бюджет. 
 
Президент ОАО «НИАЭП», управляющей организации ЗАО АСЭ - доктор экономических наук Валерий Игоревич Лимаренко.
 
 
 ",,
4,http://www.atomstroyexport.ru/journalists/press/3nws,17-19 февраля ЗАО «Атомстройэкспорт» приняло участие в 8-й Международной энергетической выставке Power Gen Middle East 2009,2009-04-26 23:10:53,"17-19 февраля 2009 года ЗАО «Атомстройэкспорт» приняло участие в 8-й Международной энергетической выставке Power Gen Middle East 2009, посвященной развитию энергетики стран Совета сотрудничества Персидского залива (Кувейт, Катар, Оман, Саудовская Аравия, Бахрейн, ОАЭ). Выставка уже третий год проводится в г.Манама (Бахрейн). В этот раз в ней приняли участие около 100 организаций и компаний из 30 стран мира. Впервые в основные тематические разделы выставки был включен раздел, посвященный производству атомной энергии. 
 ЗАО «Атомстройэкспорт» в составе единой экспозиции Госкорпорации «Росатом» продемонстрировало на выставке информационные и видеоматериалы по направлениям своей деятельности за рубежом и реализуемым в настоящее время проектам. Наибольшее внимание было уделено безопасности российских атомных энергетических технологий, усовершенствованным проектам АЭС с реакторами ВВЭР. 
 Параллельно с выставкой была проведена Международная конференция, посвященная общеэнергетическим вопросам, включая раздел по атомной энергетике. Особое внимание на выставке и на конференции было уделено важнейшей для стран региона проблеме – опреснению воды. 
 Данные мероприятия проводились под патронажем Премьер-министра Королевства Бахрейн Принца Халифа Салмана аль-Халифа. В церемонии открытия выставки приняли участие министр электричества и водных ресурсов Королевства Бахрейн Фахми аль-Джодер, представители органов государственной власти и деловых кругов страны, главы дипломатических миссий, в том числе Посол России Виктор Смирнов. 
 Содержание стенда ЗАО «Атомстройэкспорт» и презентация возможностей компании по строительству АЭС за рубежом вызвали большой интерес участников и посетителей выставки. Стенд посетили более 400 человек, в основном представители энергетических компаний стран Персидского залива, европейских государств и США. 
 Необходимость наращивания энергетических мощностей является одной из самых основных проблем, стоящих перед странами Персидского залива. Эти государства используют около 10% мирового энергопотребления. Рост потребности в электроэнергии во многом здесь связан с дефицитом водных ресурсов и необходимостью решения проблем опреснения воды. Кроме того, правительства стран Персидского залива предполагают снижение добычи нефти и газа внутри стран. В связи с этим в настоящее время в регионе принято решений о развитии атомной энергетики.",,
5,http://www.atomstroyexport.ru/journalists/press/48nws," 18 января 2008 года между ЗАО ""Атомстройэкспорт"" и Национальной электрической компанией (НЭК) Болгарии состоялось подписание Контрактного Соглашения на сооружение АЭС ""Белене"" ",2009-04-26 23:34:40,"Со стороны ЗАО ""Атомстройэкспорт"" Контрактное Соглашение подписал Президент ЗАО АСЭ Сергей Шматко, с болгарской стороны – главный исполнительный директор НЭК Любомир Велков и исполнительный директор НЭК Мардик Папазян. Контрактное Соглашение подписано в присутствии Президента России Владимира Путина и Президента Болгарии Георгия Пырванова в гербовом зале Президентского дворца. 
 Контрактное Соглашение представляет собой базовый документ, определяющий основные условия реализации проекта АЭС “Белене” и обязательства сторон. В соответствии с ним, ""Атомстройэкспорт"" выполняет реализацию проекта на условиях ""под ключ"" и обеспечивает инжиниринг, поставку и строительство АЭС ""Белене"". 
 В Контрактном Соглашении определена стоимость проекта, которая составляет 3 997 260 000 евро за 2 блока по 1000 МВт каждый. По соглашению сторон, ЗАО «Атомстройэкспорт» максимально использует существующие здания и сооружения на площадке АЭС «Белене», с целью интеграции в проект. 
 Оборудование, которое по оценке образованного в 2007 году Оценочного комитета не подлежит использованию в проекте, должно быть выкуплено «Атомстройэкспортом».",,
6,http://www.atomstroyexport.ru/journalists/press/0daaa9004cd538a29b1d9fb02198ada2,19 сентября 2012 года состоялось видесовещание между руководством объединенной компании ОАО «НИАЭП» - ЗАО АСЭ и JNPC по сооружению ТАЭС-2,2012-09-21 08:38:38,"19 сентября 2012 года состоялось видесовещание между руководством объединенной компании ОАО «НИАЭП» - ЗАО АСЭ и JNPC по сооружению ТАЭС-219 сентября состоялась очередная видеоконференция по вопросам сооружения в Китайской Народной Республике энергоблоков №3 и №4 Тяньваньской АЭС (вторая очередь ТАЭС-2), в которой приняли участие руководство и специалисты объединенной компании ОАО «НИАЭП» - ЗАО АСЭ и Цзянсуской ядерной энергетической корпорации (JNPC). Сторону российского генподрядчика на совещании возглавил директор ОАО «НИАЭП», управляющей организации ЗАО АСЭ Валерий Лимаренко, сторону китайского заказчика –  генеральный директор JNPC У Сюцзян.- Мы обсудили с руководством JNPC ход выполнения работ по подготовке ближайшего ключевого события – заливки первого бетона, а также итоги четвертого Координационного совещания по сооружению ТАЭС-2, которое проходило середине этого сентября, – сказал Валерий Лимаренко. –  В ходе конференции Китайский заказчик дал положительную оценку  выполнения хода работ и отметил, что отставания от  графика сооружения блоков 3 и 4 нет, все идет по плану. В четвертом Координационном совещании по сооружению ТАЭС-2 приняло участие более 80 специалистов российских организаций, которые обсудили с китайскими специалистами более 100 вопросов и приняли по ним необходимые решения. На совещании был согласован график третьего уровня по сооружению ТАЭС-2.Справка:ТАЭС – самый крупный объект экономического сотрудничества между КНР и РФ. Сооружение блоков №1, 2 Тяньваньской АЭС вело ЗАО АСЭ в соответствии с российско-китайским межправительственным соглашением, подписанным в 1992 году. В 2007 году первая очередь ТАЭС – энергоблоки №1, 2 (мощностью по 1060 МВт) сдана заказчику (корпорации JNPC), и станция запущена в гарантийную эксплуатацию, которая показала ее безопасную и надежную работу. Подписание Генерального контракта на сооружение второй очереди Тяньваньской АЭС (энергоблоков №3, 4 мощностью по 1060 МВт) между ЗАО «Атомстройэкспорт» и выступающими совместно JNPC, CNPE и CNEIC состоялось 23 ноября 2010 года. В августе 2011 года Китай и Россия подтвердили вступление его в силу.",,
7,http://www.atomstroyexport.ru/journalists/press/606c768043c6169ba74ceffd74fb630d,20-летний юбилей китайской компании JNPC – Заказчика Тяньваньской АЭС в Китае,2017-12-20 15:07:11,"Строительство Тяньваньской АЭС стало крупнейшим совместным проектом в области ядерной энергетики между Россией и Китаем. С китайской стороны Заказчиком  этого проекта стала компания JNPC,  которая отметила 18 декабря 2017 года 20-летие своего создания.
Этому знаменательному юбилею был посвящен семинар по итогам и достижениям в честь 20-летия создания и успешной деятельности компании JNPC. Это событие является очень важным и для  Тяньваньской атомной электростанции, сооружаемой  при непосредственном и активном участии российских организаций, входящих в государственную корпорацию «Росатом». Партнёрами с российской стороны при реализации этого крупного успешного проекта атомной энергетики Китая является Группа компаний ASE.
 
 
В юбилейном семинаре, состоявшемся в Ляньюнгане, участвовало более 100 представителей различных отраслей атомной промышленности России и Китая.  От Государственной корпорации «Росатом» в этом событии приняли участие  представители различных дивизионов, в том числе АО ТВЭЛ, АО «Русатом Сервис», а так же Группы компаний ASE - вице-президент Ю.Г. Иванов, Директор по проектам в Китае А.Ю. Банник и заместитель начальника оперативно-распорядительного управления АО ИК «АСЭ» – А.В. Яценко. 
Семинар открыл Генеральный директор JNPC – г-н Шен Янфэн (Shen Yanfeng). В своем выступлении он осветил основные этапы создания компании, вехи развития и достигнутые за 20 лет плодотворной деятельности успехи.
С поздравительными обращениями выступили Руководитель административного аппарата Китайской национальной ядерной корпорации (CNNC) – Ли Хуапин (Li Huaping); Председатель совета директоров, секретарь партийного комитета Китайской корпорации по атомной энергии  (CNNP) - Чэнь Хуа (Chen Hua); Заместитель мэра г. Ляньюньган – Сюй Цзябао (Xu Jiabao); Вице-президент Группы компаний ASE – Ю.Г. Иванов, который вручил нагрудные знаки «За международное сотрудничество в атомной отрасли» Государственной корпорации «Росатом» особенно отличившимся при сооружении АЭС работникам компаний Китайской Народной Республики. 
Участники  семинара рассмотрели многие важные аспекты, касающиеся Тяньваньской АЭС – этого важного энергетического объекта КНР, в том числе отмечалось следующее:
- значительный вклад ТАЭС в улучшение экологической обстановки на всей территории провинции Цзянсу, на востоке Китая;
-  активное участие ТАЭС в реализации экологической концепции принятой руководством КНР: «Чистая энергия – зеленые горы – экологически чистые вода и воздух»;
- ТАЭС выработала за 10 лет с момента пуска Блоков 1 и 2 в 2007 году более 170-ти миллиардов кВт часов электроэнергии;
- ТАЭС является основным налогоплательщиком городского округа Ляньюньган и провинции Цзянсу.
- с начала строительства ТАЭС работой обеспечены свыше 5000 специалистов из числа местных жителей.
В планах компании JNPC  расширение рынка сбыта производимой электроэнергии,  повышение КИУМ блоков 1 и 2 (коэффициент использования установленной мощности) более 90% в ближайшие 3 года; а также к 2027 году иметь на площадке ТАЭС в коммерческой эксплуатации 8 блоков.
 
Сегодня, компания JNPC, благодаря тесному сотрудничеству с Государственной корпорацией «Росатом» и Группой компаний ASE, является признанным лидером среди организаций, сооружающих атомные электростанции в Китае.
 
 
 
Справка.
Группа компаний АSE создана в рамках формирования инжинирингового дивизиона Госкорпорации «Росатом» путем объединения ведущих компаний отрасли: АО ИК «АСЭ», АО «Атомстройэкспорт»,  АО «Атомэнергопроект» и АО «АТОМПРОЕКТ». 
Группа компаний АSE является одним из лидеров мирового атомного инжинирингового бизнеса, занимая 31%  глобального рынка сооружения АЭС. Представительства, филиалы и операционные офисы действуют на территории 15 стран. Почти 80% портфеля заказов приходится на проекты за рубежом.
Реализует проекты по проектированию и сооружению АЭС большой мощности, объектов  по обращению с РАО и ОЯТ, объектов теплоэнергетики, а также оказывает полный спектр услуг EPC, EPC(M) и PMC услуг для любых сложных инженерных объектов. 
Группа компаний АSE является разработчиком и активно внедряет инновационную систему управления проектами по сооружению сложных инженерных объектов – Multi-D, позволяющую более эффективно управлять такими параметрами, как бюджет, сроки, качество. 
Президент Группы компаний ASE -  доктор экономических наук Валерий Игоревич Лимаренко.
Сайты: www.niaep.ru; www.atomstroyexport.ru; www.aep.ru; www.atomproekt.com
 
 ",http://atomstroyexport.ru/wps/wcm/connect/ase/ase/resources/6b3a3c0043c61925a751effd74fb630d/%D0%A2%D0%90%D0%AD%D0%A1-2.JPG|http://atomstroyexport.ru/wps/wcm/connect/ase/ase/resources/e969038043c61962a75beffd74fb630d/%D0%9D%D0%B0%D0%B3%D1%80%D1%83%D0%B4%D0%BD%D1%8B%D0%B5+%D0%B7%D0%BD%D0%B0%D0%BA%D0%B8+%D0%A0%D0%BE%D1%81%D0%B0%D1%82%D0%BE%D0%BC%D0%B0+%D0%B4%D0%BB%D1%8F+%D0%9A%D0%9D%D0%A0.jpg,
8,http://www.atomstroyexport.ru/journalists/press/40nws,21 марта 2008 года «Атомстройэкспорт» удостоен Национальной премии в области инжиниринга и управления проектами EPCM Awards 2007,2009-04-26 23:29:13,"Церемония награждения состоялась в Москве в рамках международной конференции «Управление инвестиционными проектами: решения для заказчиков и EPC/EPCM-компаний». 
 Среди компаний–претендентов на награду «Атомстройэкспорт» был признан победителем в номинации «Лучшая российская EPC/EPCM-компания на зарубежных рынках». 
 Термин EPC/EPCM означает системный подход к реализации крупных инвестиционных проектов по стадиям: проектирование, поставки, строительство и управление проектом. EPC/EPCM-контрактор полностью выполняет инвестиционный проект с момента проектирования и до момента передачи готового объекта заказчику (включая исполнение гарантийных обязательств). 
 Определяющим критерием отбора и награждения Национальной премией EPCM Awards 2007 стал уровень компетенции компаний в этой области и наличие завершенных проектов в минувшем году. «Атомстройэкспорт» стал единственной компанией атомной отрасли, удостоенной этой награды за успехи, достигнутые в последнее время на зарубежных рынках. 
 На торжественном мероприятии были награждены в разных номинациях несколько EPC/EPCM-компаний. Призовые позиции распределились как среди признанных лидеров с более чем полувековым опытом, так и новых компаний в области инжиниринга и управления проектами. В списке победителей Национальной премии EPCM Awards 2007: ЗАО «Атомстройэкспорт», ОАО «Стройтрансгаз», ОАО «ВО «Технопромэкспорт», ОАО «Мосэнерго», ОАО «Русская инжиниринговая компания» (ОК РУСАЛ), ОАО «Интертехэлектро».",,
9,http://www.atomstroyexport.ru/journalists/press/8nws,"21 ноября 2008 года представители российских компаний отрасли энергетического машиностроения объявили о создании Национальной Ассоциации Инжиниринговых Компаний (НАИК), одним из учредителей которой ст",2009-04-26 23:13:13,"В число учредителей ассоциации вошли также ООО «Интертехэлектро - Новая Генерация», ОАО «Группа Е4», ОАО «ВО «Технопромэкспорт», ЗАО «Системы управления», ОАО «Энергостройинвест-холдинг», ОАО «ЭМАльянс», ООО «ЕвроСибЭнерго-инжиниринг», ОАО «Инженерный центр ЕЭС», ЗАО «Энергопроект», ООО «УК «КВАРЦ». 
 Создание ассоциации, по мнению ее участников, обусловлено необходимостью диалога между участниками отрасли и органами государственной власти при обсуждении перспектив отрасли, правительственных и законодательных инициатив. 
 Одна из задач НАИК – сохранить объемы ввода генерирующих мощностей инвестиционной программы ЕЭС и полностью реализовать ее, предотвратив угрозу возникновения энергодефицита в недалеком будущем.",,
10,http://www.atomstroyexport.ru/journalists/press/31nws,25 и 26 апреля 2008 года в Мумбаи прошло 20-е заседание Совместного Координационного Комитета (СКК) по сооружению АЭС «Куданкулам».,2009-04-26 23:23:08,"В заседании приняли участие сопредседатель СКК с российской стороны – заместитель генерального директора госкорпорации «Росатом» И.М. Каменских, заместитель директора ОАО «Атомэнергопром», Президент ЗАО «Атомстройэкспорт» С.И. Шматко, а также специалисты компании «Атомстройэкспорт», в том числе работающие на площадке АЭС, и представители генерального проектировщика АЭС «Куданкулам» – московского института «Атомэнергопроект». 
 С индийской стороны в заседании участвовали Председатель и Управляющий Директор Корпорации по атомной энергии Индии доктор С.К. Джейн, главный советник Департамента по атомной энергии Индии В.П. Раджа и ряд индийских специалистов. 
 С.И Шматко отметил, что прошедший с момента 19-й СКК период был наполнен интенсивной деятельностью обеих сторон, направленной на реализацию намеченных планов. В частности, сформированы и отгружены в Индию 39-я и 40-я судовые партии с оборудованием и материалами, что значительно расширило имеющиеся возможности монтажа оборудования. Были внесены и рассмотрены с индийской стороной предложения, нацеленные на дальнейшую интенсификацию работ по сооружению АЭС. 
 В ходе заседания после тщательного анализа проведения работ на АЭС «Куданкулам» намечены ближайшие шаги по выполнению проекта: активизация монтажных и пусконаладочных работ индийской стороной на всем комплексе сооружаемых объектов на площадке АЭС и обеспечение оставшихся поставок оборудования и материалов российской стороной в соответствии с ходом монтажных работ. 
 По итогам заседания были подготовлены Протокол и ряд документов, направленных на успешное выполнение проекта сооружения АЭС «Куданкулам». 
 Подобные заседания проводятся раз в квартал, что помогает своевременно решать вопросы, возникающие у обеих сторон в процессе строительства АЭС. 
 Справка.
 «Атомстройэкспорт», в соответствии с межправительственным соглашением о сооружении АЭС «Куданкулам» в Индии, с 2002 года обеспечивает реализацию процесса сооружения АЭС. В объем обязательств ЗАО «Атомстройэкспорт» в соответствии с подписанными Контрактами входят: разработка технического проекта и рабочей документации, авторский надзор за строительством зданий и сооружений АЭС в объеме проектирования, поставка оборудования и материалов из России и третьих стран, техническая поддержка при монтаже и вводе в эксплуатацию АЭС, подготовка эксплуатационного и обслуживающего персонала в России. Выполнение строительных, монтажных работ и работ по вводу энергоблоков в эксплуатацию осуществляется индийской стороной.",,
