№,источник,заголовок,дата,текст,фотки,основная фотка
1,http://archive.niaep.ru/journalist/news/e733e6004473e9ae8168b7eba270c2f2,На втором энергоблоке Белорусской АЭС завершено бетонирование фундамента турбоагрегата,2018-02-15 06:12:36,"В здании турбоагрегата (машинный зал) энергоблока №2 Белорусской АЭС (генеральный подрядчик - Группа компаний ASE) выполнены работы по бетонированию фундамента турбоагрегата. Окончание процесса бетонирования является одним из завершающих этапов строительных работ в здании турбины, и позволяет специалистам развернуть полномасштабные работы по монтажу турбогенераторной установки энергоблока. Процесс укладки бетона был начат 29 июля 2017 года. Методом непрерывного бетонирования на +16,0 отметке здания турбины было уложено 1400 кубометров бетона.«Своевременное завершение монтажа фундамента турбоагрегата свидетельствует об исполнении обязательств, взятых на себя генеральным подрядчиком строительства, - отметил вице-президент-директор проекта по сооружению Белорусской АЭС АО ИК «АСЭ» Виталий Медяков. – В соответствии с графиком сооружения, мы начинаем подготовительный этап к началу монтажа основного технологического оборудования машзала».В настоящее время в машзале строящегося энергоблока специалисты приступили к монтажу закладных деталей, на которые будет опираться фундаментные рамы и устанавливаться цилиндры турбины. Белорусская АЭС с двумя реакторами ВВЭР-1200 суммарной мощностью 2400 МВт сооружается по российскому проекту в Островце (Республика Беларусь). Для первой АЭС выбран российский проект с ВВЭР-1200, поколения 3+, который полностью соответствует международным нормам и рекомендациям Международного агентства по атомной энергии (МАГАТЭ) по безопасности. В настоящее время аналогичные проекты реализуются в России, на Нововоронежской АЭС-2 и Ленинградской АЭС-2. Первый блок НВАЭС-2 уже сдан в промышленную эксплуатацию. В 2017 году новый российский энергоблок НВАЭС-2 назван в числе трех лучших атомных установок мира по версии влиятельного международного издания POWER (США). В начале декабря 2017 года на ЛАЭС-2 состоялся физический пуск реактора, в активную зону реактора загрузили первую из 163-х тепловыделяющих сборок со свежим ядерным топливом (ТВС). 
Cправка: Группа компаний АSE создана в рамках формирования инжинирингового дивизиона Госкорпорации «Росатом» путем объединения ведущих компаний отрасли: АО ИК «АСЭ», АО «Атомстройэкспорт», АО «Атомэнергопроект» и АО «АТОМПРОЕКТ».Группа компаний АSE является одним из лидеров мирового атомного инжинирингового бизнеса, занимая 31% глобального рынка сооружения АЭС. Представительства, филиалы и операционные офисы действуют на территории 15 стран. Почти 80% портфеля заказов приходится на проекты за рубежом.Реализует проекты по проектированию и сооружению АЭС большой мощности, объектов по обращению с РАО и ОЯТ, объектов теплоэнергетики, а также оказывает полный спектр услуг EPC, EPC(M) и PMC услуг для любых сложных инженерных объектов. Группа компаний АSE является разработчиком и активно внедряет инновационную систему управления проектами по сооружению сложных инженерных объектов – Multi-D, позволяющую более эффективно управлять такими параметрами, как бюджет, сроки, качество. Президент Группы компаний ASE - доктор экономических наук Валерий Игоревич Лимаренко.Сайты: www.niaep.ru; www.atomstroyexport.ru; www.aep.ru; www.atomproekt.com",,
2,http://archive.niaep.ru/journalist/news/e6fd6880444c6214b15cb3870c25134f,Ростовская АЭС: Президент РФ Владимир Путин дал старт программе вывода нового энергоблока №4 на проектную мощность,2018-02-02 09:08:14,"В 18:30 Президент Российской Федерации Владимир Путин дал старт программе вывода энергоблока №4 на проектную мощность.
Глава государства, находящийся в Ростове-на-Дону с рабочей поездкой, принял участие в видеоконференции по случаю запуска энергоблока. Он принял доклад генерального директора Госкорпорации «Росатом» Алексея Лихачёва и директора Ростовской АЭС Андрея Сальникова и поздравил атомщиков с трудовой победой. Ранее, в этот же день, генератор турбины энергоблока №4 был синхронизирован с сетью. Вырабатываемая электроэнергия начала поступать в единую энергосистему страны.
Президент, в частности, отметил, что в 2017 г. атомная энергетика дала рекордный показатель - 200 млрд кВт/ч электроэнергии. «Хочу поблагодарить вас за эту работу. У нас в целом в общем объеме генерации 19% атомная энергетика выдает, но мы будем и дальше развивать эту отрасль - высокотехнологичную и эффективно функционирующую"", - отметил глава государства.
""Конечно, очень важно, что наша компетенция признана во всем мире, мы продолжаем строительство не только внутри страны, но и за рубежом. В 12 странах мира возводим соответствующие объекты атомной энергетики и будем продолжать эту работу дальше"", - отметил В. Путин.
По словам главы государства, с вводом 4-го блока Ростовской АЭС будут обеспечены текущие и перспективные потребности в электроэнергии не только Ростова, но и всего юга России.
Как отметил Алексей Лихачев: «Город Волгодонск – это своеобразный университет современных строителей. Здесь восстанавливались строительные компетенции атомной отрасли. Мы перешли от «режима подвига» начала нулевых к плановому конвейерному сооружению атомных энергоблоков. Здесь, на Ростовской земле, был установлен целый ряд рекордов. Главный циркуляционный трубопровод был сварен за 96 дней при советском рекорде 150 суток. В 2 – 2,5 раза сократились сроки запуска блока от первого бетона до подключения к сети. И самое главное, мы действительно научились за 10 лет существования Росатома строить точно в срок и по установленной цене».
Говоря о важности этого события, генеральный директор Концерна «Росэнергоатом» Андрей Петров сказал: «С вводом в эксплуатацию 4-ого энергоблока Ростовская АЭС станет крупнейшим энергообьектом юга страны. Более 50% электроэнергии, вырабатываемой в Ростовской области, будет атомной. Параллельно с энергоблоком №4 пусковые операции проходят и на энергоблоке №1 Ленинградской АЭС. Энергетический пуск ленинградского энергоблока ожидается в начале весны текущего года».
В свою очередь президент Группы компаний ASE Валерий Лимаренко отметил: «Опыт серийного сооружения АЭС, приобретенный на Ростовской АЭС, мы активно внедряем на всех наших объектах, как российских, так и зарубежных. Это и сооружаемые сейчас блоки Белорусской АЭС, и АЭС в Бангладеш, Венгрии и Турции. Созданная на основе технологии Multi-D система управления жизненным циклом сложных инженерных объектов позволяет нам строить и пускать атомные блоки в установленные сроки, по фиксированной цене и с соблюдением всех международных стандартов безопасности». 
Напомним, что Ростовская АЭС – единственная атомная станция в современной России, которая за 7 лет запустила на одной площадке три энергоблока (в 2010 г. – №2, в 2015 – №3, в 2017 - №4) и первая в новейшей российской истории, где было возрождено так называемое «поточное строительство», обеспечивающее как максимально эффективное использование материальных и денежных ресурсов, так и соблюдение директивных сроков строительства. Сегодня Ростовская АЭС является одним из самых крупных предприятий энергетической отрасли Ростовской области и юга страны. Пуск энергоблока №4 позволит устойчиво обеспечивать энергоснабжение всего южного региона России. При этом сама Ростовская область войдёт в десятку российских регионов-лидеров по объёму электрогенерации. Сейчас станция обеспечивает свыше 40% производства электроэнергии в регионе. Электроэнергия от энергоблоков АЭС поступает в Волгоградскую область, Краснодарский и Ставропольский края и в г. Волгодонск, являясь основой энергобезопасности всей энергосистемы Юга страны. С вводом в промышленную эксплуатацию нового энергоблока №4 доля станции в производстве электроэнергии в регионе составит около 54%.
Работающий энергоблок №4 может дать в бюджеты всех уровней дополнительно налогов порядка 1 млрд рублей в год, а в первый год, после ввода в промышленную эксплуатацию дополнительные отчисления только за счет налога на имущество составят порядка 1,700 млрд рублей.
Департамент информации и общественных связей АО «Концерн Росэнергоатом», Управление коммуникаций Группы компаний ASE ",http://archive.niaep.ru/wps/wcm/connect/niaep/site/resources/5db06f00444c6d9ab167b3870c25134f/1/IMG_0385.JPG,
3,http://archive.niaep.ru/journalist/news/bc528a00444a4580ad33bf870c25134f,В Инжиниринговой компании «АСЭ» состоялось первое в этом году заседание российского отделения buildingSMART,2018-02-01 16:37:37,"1 февраля 2018 года в московском офисе АО ИК «АСЭ» прошло первое в этом году заседание российского отделения buildingSMART. На заседании под руководством председателя российского отделения buildingSMART, директора по системной инженерии и ИТ АО ИК «АСЭ» Вячеслава Аленькова, при участии представителей НАИКС, ООО «Конкуратор», ОЦКС ГК «Росатом», АО «Интертест», ООО «СТГМ», ООО «Юнидрафт», ООО «К4», ООО «АйБиКон» были приняты план работы на 2018 год, положение о российском отделении, организационная структура и структура рабочих групп и утверждены ряд кандидатур руководителей рабочих групп. Российское отделение buildingSMART - единственный в России представитель международной некоммерческой организации buildingSMARTInternational, которая объединяет в своих рядах профессионалов со всего мира, участвующих в разработке, совершенствовании, популяризации и применении на практике стандартов openBIM (BIMLevel 3). BuildingSMART является автором группы стандартов IFC (IndustryFoundationClasses), которая была принята в качестве стандартов ISO. Целью деятельности российского отделения buildingSMART, открытого в 2017 году, является повышение осведомленности в области BIM среди компаний российской строительной отрасли, адаптация международных стандартов в соответствии с российской спецификой и их продвижение на государственном уровне, а также представление интересов и опыта российских компаний на международном уровне BIM-стандартизации. 
Справка: Группа компаний АSE создана в рамках формирования инжинирингового дивизиона Госкорпорации «Росатом» путем объединения ведущих компаний отрасли: АО ИК «АСЭ», АО «Атомстройэкспорт», АО «Атомэнергопроект» и АО «АТОМПРОЕКТ». Группа компаний АSE является одним из лидеров мирового атомного инжинирингового бизнеса, занимая 31% глобального рынка сооружения АЭС. Представительства, филиалы и операционные офисы действуют на территории 15 стран. Почти 80% портфеля заказов приходится на проекты за рубежом. Реализует проекты по проектированию и сооружению АЭС большой мощности, объектов по обращению с РАО и ОЯТ, объектов теплоэнергетики, а также оказывает полный спектр услуг EPC, EPC(M) и PMC услуг для любых сложных инженерных объектов. Группа компаний АSE является разработчиком и активно внедряет инновационную систему управления проектами по сооружению сложных инженерных объектов – Multi-D, позволяющую более эффективно управлять такими параметрами, как бюджет, сроки, качество. Президент Группы компаний ASE - доктор экономических наук Валерий Игоревич Лимаренко. Сайты: www.niaep.ru; www.atomstroyexport.ru; www.aep.ru; www.atomproekt.com    ",http://archive.niaep.ru/wps/wcm/connect/niaep/site/resources/f058d400444a483aad3dbf870c25134f/1/ALENKOV.jpg,
4,http://archive.niaep.ru/journalist/news/1a907b804438063db22db74ed0fa4bb8,Генеральный директор Росатома Алексей Лихачев  провел совещание с участниками сооружения Тяньваньской АЭС,2018-01-26 17:57:26,"  
26 января 2018 года в нижегородском офисе АО ИК «АСЭ», входит в Инжиниринговый дивизион Росатома (Группа компаний ASE), генеральный директор Госкорпорации «Росатом» Алексей Лихачев провел производственное совещание и подвел итоги реализации проекта по сооружению энергоблока №3 Тяньваньской АЭС.
Совещание проходило в режиме телемоста, в котором приняли участие первый заместитель генерального директора - директор блока по развитию и международному бизнесу Госкорпорации «Росатом» Кирилл Комаров, президент Группы компаний ASEВалерий Лимаренко, сотрудники АО «АТОМПРОЕКТ» (Санкт-Петербург), генерального проектировщика Тяньваньской АЭС, специалисты по закупкам и поставкам оборудования АО ИК «АСЭ» (Нижний Новгород), руководители и сотрудники представительства АО АСЭ в Китае (Ляньюньган).
Глава «Росатома» подвел предварительные итоги работы инжинирингового дивизиона в 2017 году. Он подчеркнул, что львиная доля портфеля зарубежных заказов, который составляет более 130 млрд. долларов, - это объекты, возводимые Группой компаний ASE. И именно от деятельности Инжинирингового дивизиона со множеством его компетенций в большой степени зависит устойчивость и развитие Госкорпорации.
Подробно Алексей Лихачев остановился на реализации проекта по возведению Тяньваньской АЭС. Говоря о пуске третьего энергоблока китайской станции, генеральный директор Госкорпорации, в частности, отметил: «Подключение энергоблока № 3 Тяньваньской АЭС к энергетической системе Китая – знаменательное событие не только для атомной отрасли, но и для российско-китайских отношений. На сегодняшний день это самый крупный объект экономического сотрудничества двух стран. Символично, что пуск третьего блока состоялся в юбилейный год, ровно через 10 лет после сдачи в эксплуатацию 1 и 2 блоков ТАЭС, которые устойчиво демонстрируют лучшие показатели в атомной отрасли Китая. От блока к блоку эффективность сотрудничества с китайскими коллегами растет: энергопуск третьего блока состоялся в соответствии с графиком – через 60 месяцев с начала сооружения. Уверен, что и четвертый блок, пуск которого запланирован в 2018 году, коллектив Инжинирингового дивизиона сдаст точно в срок».
В рамках производственного совещания также состоялась церемония награждения сотрудников Инжинирингового дивизиона. Специалисты Группы компаний ASEбыли отмечены наградами Госкорпорации «Росатом» за, большой личный вклад в развитие атомной отрасли и международного сотрудничества в связи с физическим и энергетическим пуском третьего энергоблока Тяньваньской АЭС.
Нагрудные знаки «За международное сотрудничество в атомной области» получили: директор по проектам в Китае АО ИК «АСЭ» Алексей Банник; руководитель представительства АО АСЭ в Китае Владимир Дудаков; первый заместитель руководителя представительства АО АСЭ в Китае Валерий Максимов; заместитель начальника управления по сооружению Тяньваньской АЭС МФ АО ИК «АСЭ» Юрий Малков, директор Санкт-Петербургского проектного института Александр Казарин.
Знак отличия Госкорпорации «Росатом» «За заслуги перед атомной отраслью» 3 степени врученведущему специалисту отдела комплексного проектирования турбинного острова технологического управления АО «АТОМПРОЕКТ» Владимиру Козлову.
Почетной грамотой Госкорпорации ""Росатом"" награждены: главный инженер представительства АО АСЭ в Китае Валерий Стариков, начальник финансового управления АО АСЭ Наталья Санникова, начальник отдела смет технологического управления АО «АТОМПРОЕКТ» Ирина Левина, заместитель начальника технологического управления АО «АТОМПРОЕКТ» Павел Козлов.
Благодарность генерального директора Госкорпорации ""Росатом"" получили сотрудники представительства АО АСЭ в Китае: эксперт отдела технического обслуживания и ремонта Николай Шевелев, заместитель главного инженера - начальник отдела СКУ и ЭС Александр Гаврилин и начальник группы отдела контрольно-измерительных приборов управления проектирования систем автоматизации АО «АТОМПРОЕКТ» Татьяна Казакова.
Начальник отдела обеспечения текущей деятельности представительства АО АСЭ в КитаеЛеонид Кармадонов отмечен Благодарственным письмом Госкорпорации ""Росатом"".
Почетной грамотой Группы компаний ASEнаграждены сотрудники представительства АО АСЭ в Китае: старший переводчик отдела лингвистической поддержки Сергей Витязев; главный специалист коммерческого отдела Светлана Петкевич; начальник отдела лингвистической поддержки Владимир Левко; начальник отдела монтажных работ Валерий Похмельных; начальник коммерческого отдела Илья Агиевец; главный специалист отдела планирования и управления проектом Денис Редекопп.
Справочно: Тяньваньская АЭС — самый крупный объект российско-китайского экономического сотрудничества. Пуск первой очереди Тяньваньской АЭС (1 и 2 энергоблоки) состоялся в 2007 году. Ежегодно первая очередь Тяньваньской АЭС вырабатывает свыше 15 млрд. кВт/час электроэнергии.
30 декабря 2017 года состоялся энергетический пуск энергоблока №3 АЭС «Тяньвань», блок выдал первые киловатты электроэнергии в энергосистему страны.
Сотрудничество по сооружению второй очереди - блоков № 3 и 4 - Тяньваньской АЭС осуществляется на основе Протокола между Правительством Российской Федерации и Правительством Китайской Народной Республики о сотрудничестве в сооружении на территории КНР энергоблоков 3 и 4 Тяньваньской атомной электростанции, подписанного 6 декабря 2012 года. В основу сооружения Тяньваньской АЭС положен российский проект АЭС-91 с реактором типа ВВЭР-1000, который полностью удовлетворяет требованиям современных нормативно-технических документов Китая, Российской Федерации и МАГАТЭ. Сооружение Тяньваньской атомной электростанции осуществляется Цзянсуской ядерной энергетической корпорацией (JNPC) совместно с российской компанией «Атомстройэкспорт», входящей в состав инжинирингового дивизиона Росатом ( Группы компаний ASE).
Cправка:
Группа компаний АSE создана в рамках формирования инжинирингового дивизиона Госкорпорации «Росатом» путем объединения ведущих компаний отрасли: АО ИК «АСЭ», АО «Атомстройэкспорт», АО «Атомэнергопроект» и АО «АТОМПРОЕКТ». 
Группа компаний АSE является одним из лидеров мирового атомного инжинирингового бизнеса, занимая 31% глобального рынка сооружения АЭС. Представительства, филиалы и операционные офисы действуют на территории 15 стран. Почти 80% портфеля заказов приходится на проекты за рубежом.
Реализует проекты по проектированию и сооружению АЭС большой мощности, объектов по обращению с РАО и ОЯТ, объектов теплоэнергетики, а также оказывает полный спектр услуг EPC, EPC(M) и PMC услуг для любых сложных инженерных объектов. 
Группа компаний АSE является разработчиком и активно внедряет инновационную систему управления проектами по сооружению сложных инженерных объектов – Multi-D, позволяющую более эффективно управлять такими параметрами, как бюджет, сроки, качество. 
Президент Группы компаний ASE - доктор экономических наук Валерий Игоревич Лимаренко.
Сайты: www.niaep.ru; www.atomstroyexport.ru; www.aep.ru; www.atomproekt.com",http://archive.niaep.ru/wps/wcm/connect/niaep/site/resources/2a01f700443807ecb237b74ed0fa4bb8/1/telemost.jpg,
5,http://archive.niaep.ru/journalist/news/cd3d66804430b9e1880d9b870c25134f,Инжиниринговый дивизион Росатома провел закупочную процедуру для проекта АЭС «Пакш-2» в Венгрии,2018-01-23 22:53:38,"Генеральный подрядчик проекта АЭС «Пакш-2», российская компания АО ИК «АСЭ», входит в Инжиниринговый дивизион Госкорпорации «Росатом», с лета 2017 года проводит конкурентные закупочные процедуры оборудования для АЭС «Пакш-2» через компанию «Атомкомплект», которая была создана для проведения процедур закупок для атомной отрасли.
30 июня 2017 года был объявлен двухэтапный тендер на производство и поставку основного и вспомогательного оборудования турбинного зала для двух энергоблоков мощностью 1200 МВт. Это оборудование является одним из ключевых компонентов будущей атомной электростанции «Пакш-2».
Тендерная документация была размещена на русском и английском языках на официальном сайте по закупкам атомной отрасли Российской Федерации http://zakupki.rosatom.ru.Уведомление о закупке на английском языке было опубликовано на таких международных специализированных площадках, как http://www.tendersinfo.com.php, www.tenderskhoj.com, www.infraline.com, www.globaltenders.htm, www.tendersinfogulf.com, www.neimagazine.com, www.powerglobaldata.com, www.cisbids.com.
Согласно закупочной документации для АЭС «Пакш-2» должно быть поставлено два комплекта оборудования машинного зала, включая турбогенератор и вспомогательное оборудование. В документации приведены все технические параметры оборудования, требования, которые должен выполнить изготовитель, включая проектирование в зоне ответственности поставщика, изготовление и оказание консультационных услуг при монтаже.
Заявки подали два участника: ПАО «Силовые машины» и GEHungaryKft. в качестве лидера консорциума GEHungaryKft. и компании AlstomPowerSystems.
20 декабря 2017 года были подведены итоги двухэтапного тендера и принято решение о заключении договора с консорциумом GEHungaryKft., который был подписан 31 декабря 2017 года.
«АО ИК «АСЭ» уделяет особое внимание работе с поставщиками. Система торгов сформирована по международным правилам. Иностранные поставщики участвуют в закупках на равных условиях с российскими компаниями, включая соблюдение требований, которым должны соответствовать участники торгов. При реализации проекта АЭС «Пакш-2» все закупки осуществляются открыто, транспарентно, в полном соответствии со стандартами Европейского Союза и с учетом требований подписанного между сторонами контракта, в том числе с возможностью апеллировать в европейские суды» - подчеркнул Валерий Лимаренко, президент АО ИК «АСЭ».
Полная информация о процедуре закупки и ее итогах размещена на официальном сайте атомной отрасли Российской Федерации http://zakupki.rosatom.ru/1706301065215.
Справочно: Генеральный подрядчик АО ИК «АСЭ» осуществляет сооружение АЭС «Пакш-2» согласно EPC- контракту, заключенному в 2014 году между АО ИК «АСЭ» и Заказчиком - венгерской проектной компанией АО «МВМ АЭС Пакш-2». EPC-контракт предусматривает проектирование, строительство, ввод в эксплуатацию и вывод из эксплуатации двух энергоблоков № 5 и № 6 АЭС «Пакш-2» с реакторами типа ВВЭР, мощность каждого из которых составляет 1200 МВт.
Справка.
Группа компаний АSE создана в рамках формирования инжинирингового дивизиона Госкорпорации «Росатом» путем объединения ведущих компаний отрасли: АО ИК «АСЭ», АО «Атомстройэкспорт», АО «Атомэнергопроект» и АО «АТОМПРОЕКТ». 
Группа компаний АSE является одним из лидеров мирового атомного инжинирингового бизнеса, занимая 31% глобального рынка сооружения АЭС. Представительства, филиалы и операционные офисы действуют на территории 15 стран. Почти 80% портфеля заказов приходится на проекты за рубежом.
Реализует проекты по проектированию и сооружению АЭС большой мощности, объектов по обращению с РАО и ОЯТ, объектов теплоэнергетики, а также оказывает полный спектр услуг EPC, EPC(M) и PMC услуг для любых сложных инженерных объектов. 
Группа компаний АSE является разработчиком и активно внедряет инновационную систему управления проектами по сооружению сложных инженерных объектов – Multi-D, позволяющую более эффективно управлять такими параметрами, как бюджет, сроки, качество. 
Президент Группы компаний ASE - доктор экономических наук Валерий Игоревич Лимаренко.
Сайты: www.niaep.ru; www.atomstroyexport.ru; www.aep.ru; www.atomproekt.com",,
6,http://archive.niaep.ru/journalist/news/2704d50044193159992addc02e1ad65e,На втором энергоблоке Белорусской АЭС завершена установка  парогенераторов,2018-01-16 16:53:33,"В здании реактора второго энергоблока Белорусской АЭС (генеральный проектировщик и генподрядчик сооружения - Группа компаний ASE - инжиниринговый дивизион Госкорпорации «Росатом») специалисты завершили установку четырех парогенераторов на штатные места.
 
Парогенераторы (длина каждого 15 метров, диаметр более 4 метров, и вес свыше 320 тонн) относятся к основному оборудованию первого циркуляционного контура реакторной установки (РУ) и предназначены для передачи тепла, произведенного в активной зоне реактора во второй контур для генерации пара, питающего турбину.
«Установка всех парогенераторов позволяет специалистам начать этап подготовки к сварке главного циркуляционного трубопровода (ГЦТ) энергоблока, - отметил вице-президент по проекту Белорусской АЭС АО ИК «АСЭ» Виталий Медяков. По его словам, на этапе подготовки к сварке ГЦТ специалистам предстоит приварить парогенераторы к штатным опорам, выставить по осям главные циркуляционные насосы и укрупненные блоки трубопроводов ГЦТ.
Главный циркуляционный трубопровод (ГЦТ, диаметр 850 мм, толщина стенок 70 мм, общая длина более 130 метров) соединяет основное оборудование первого контура: реактор, парогенераторы и главные циркуляционные насосы. ГЦТ предназначен для циркуляции теплоносителя под высоким давлением.
Белорусская АЭС с двумя реакторами ВВЭР-1200 суммарной мощностью 2400 МВт сооружается по российскому проекту в Островце (Республика Беларусь). Для первой АЭС выбран российский проект с ВВЭР-1200, поколения 3+, который полностью соответствует международным нормам и рекомендациям Международного агентства по атомной энергии (МАГАТЭ) по безопасности. В настоящее время аналогичные проекты реализуются в России, на Нововоронежской АЭС-2 и Ленинградской АЭС-2. Первый блок НВАЭС-2 уже сдан в промышленную эксплуатацию. В 2017 году новый российский энергоблок НВАЭС-2 назван в числе трех лучших атомных установок мира по версии влиятельного международного издания POWER (США). В начале декабря 2017 года на ЛАЭС-2 состоялся физический пуск реактора, в активную зону реактора загрузили первую из 163-х тепловыделяющих сборок со свежим ядерным топливом (ТВС).
Управление коммуникаций Группы компаний ASE
Cправка:
Группа компаний АSE создана в рамках формирования инжинирингового дивизиона Госкорпорации «Росатом» путем объединения ведущих компаний отрасли: АО ИК «АСЭ», АО «Атомстройэкспорт», АО «Атомэнергопроект» и АО «АТОМПРОЕКТ». 
Группа компаний АSE является одним из лидеров мирового атомного инжинирингового бизнеса, занимая 31% глобального рынка сооружения АЭС. Представительства, филиалы и операционные офисы действуют на территории 15 стран. Почти 80% портфеля заказов приходится на проекты за рубежом.
Реализует проекты по проектированию и сооружению АЭС большой мощности, объектов по обращению с РАО и ОЯТ, объектов теплоэнергетики, а также оказывает полный спектр услуг EPC, EPC(M) и PMC услуг для любых сложных инженерных объектов. 
Группа компаний АSE является разработчиком и активно внедряет инновационную систему управления проектами по сооружению сложных инженерных объектов – Multi-D, позволяющую более эффективно управлять такими параметрами, как бюджет, сроки, качество. 
Президент Группы компаний ASE - доктор экономических наук Валерий Игоревич Лимаренко.
Сайты: www.niaep.ru; www.atomstroyexport.ru; www.aep.ru; www.atomproekt.com",http://archive.niaep.ru/wps/wcm/connect/niaep/site/resources/8980e100441932d19934ddc02e1ad65e/1/PARGEN+2+blok.jpg,
