№,источник,заголовок,дата,текст,фотки,основная фотка
1,http://archive.aep.ru/wps/wcm/connect/aep/main/presscenter/nnews/5ebdb480450717e88fa58f65ab240721,На втором энергоблоке Белорусской АЭС завершено бетонирование купола внутренней защитной оболочки,2018-04-03 19:58:40,"Специалисты ООО Трест РосСЭМ завершили бетонирование купола внутренней защитной оболочки (ВЗО) энергоблока №2 Белорусской АЭС (генеральный проектировщик и генеральный подрядчик сооружения - Группа компаний ASE).
Бетонирование купола ВЗО с внутренним диаметром основания 44 м. и высотой 24 м. велось с помощью двух специальных бетонораздаточных стрел. В общей сложности было уложено более трех тысяч кубометров бетона. 
«Завершение бетонирования купола ВЗО является стартом в подготовке к следующему этапу работ в здании реактора, - подчеркнул старший вице-президент по управлению российскими проектами АО ИК «АСЭ» Сергей Олонцев, говоря о значимости завершенного процесса. – В ближайшие дни на стройплощадке разворачиваются полномасштабные подготовительные работы к монтажу системы преднапряжения защитной оболочки (СПЗО), состоящей из специальных металлических тросов, многократно усиливающих прочность внутренней защитной оболочки». 
Проектом строительства Белорусской АЭС предусмотрены две защитные оболочки здания реактора - внутренняя и наружная, внутренняя – исключает выход радиоактивных веществ в окружающую среду. Наружная защитная оболочка совместно с внутренней служит физической защитой от природных и техногенных внешних воздействий, включая землетрясение и ураганы. 
Белорусская АЭС с двумя реакторами ВВЭР-1200 суммарной мощностью 2400 МВт сооружается по российскому проекту в Островце (Республика Беларусь). Для первой в Беларуси АЭС выбран российский проект поколения 3+, который полностью соответствует международным нормам и рекомендациям Международного агентства по атомной энергии (МАГАТЭ) по безопасности. 
Cправка: Группа компаний АSE создана в рамках формирования инжинирингового дивизиона Госкорпорации «Росатом» путем объединения ведущих компаний отрасли: АО ИК «АСЭ», АО «Атомстройэкспорт», АО «Атомэнергопроект» и АО «АТОМПРОЕКТ».Группа компаний АSE является одним из лидеров мирового атомного инжинирингового бизнеса, занимая 31% глобального рынка сооружения АЭС. Представительства, филиалы и операционные офисы действуют на территории 15 стран. Почти 80% портфеля заказов приходится на проекты за рубежом.Реализует проекты по проектированию и сооружению АЭС большой мощности, объектов по обращению с РАО и ОЯТ, объектов теплоэнергетики, а также оказывает полный спектр услуг EPC, EPC(M) и PMC услуг для любых сложных инженерных объектов. Группа компаний АSE является разработчиком и активно внедряет инновационную систему управления проектами по сооружению сложных инженерных объектов – Multi-D, позволяющую более эффективно управлять такими параметрами, как бюджет, сроки, качество. Президент Группы компаний ASE - доктор экономических наук Валерий Игоревич Лимаренко.Сайты: www.niaep.ru; www.atomstroyexport.ru; www.aep.ru; www.atomproekt.com",,
2,http://archive.aep.ru/wps/wcm/connect/aep/main/presscenter/nnews/308c3c804473ff3f8171b7eba270c2f2,На втором энергоблоке Белорусской АЭС завершено бетонирование фундамента турбоагрегата,2018-02-15 06:52:07,"В здании турбоагрегата (машинный зал) энергоблока №2 Белорусской АЭС (генеральный подрядчик - Группа компаний ASE) выполнены работы по бетонированию фундамента турбоагрегата. Окончание процесса бетонирования является одним из завершающих этапов строительных работ в здании турбины, и позволяет специалистам развернуть полномасштабные работы по монтажу турбогенераторной установки энергоблока. Процесс укладки бетона был начат 29 июля 2017 года. Методом непрерывного бетонирования на +16,0 отметке здания турбины было уложено 1400 кубометров бетона.«Своевременное завершение монтажа фундамента турбоагрегата свидетельствует об исполнении обязательств, взятых на себя генеральным подрядчиком строительства, - отметил вице-президент-директор проекта по сооружению Белорусской АЭС АО ИК «АСЭ» Виталий Медяков. – В соответствии с графиком сооружения, мы начинаем подготовительный этап к началу монтажа основного технологического оборудования машзала».В настоящее время в машзале строящегося энергоблока специалисты приступили к монтажу закладных деталей, на которые будет опираться фундаментные рамы и устанавливаться цилиндры турбины. Белорусская АЭС с двумя реакторами ВВЭР-1200 суммарной мощностью 2400 МВт сооружается по российскому проекту в Островце (Республика Беларусь). Для первой АЭС выбран российский проект с ВВЭР-1200, поколения 3+, который полностью соответствует международным нормам и рекомендациям Международного агентства по атомной энергии (МАГАТЭ) по безопасности. В настоящее время аналогичные проекты реализуются в России, на Нововоронежской АЭС-2 и Ленинградской АЭС-2. Первый блок НВАЭС-2 уже сдан в промышленную эксплуатацию. В 2017 году новый российский энергоблок НВАЭС-2 назван в числе трех лучших атомных установок мира по версии влиятельного международного издания POWER (США). В начале декабря 2017 года на ЛАЭС-2 состоялся физический пуск реактора, в активную зону реактора загрузили первую из 163-х тепловыделяющих сборок со свежим ядерным топливом (ТВС). 
Cправка: Группа компаний АSE создана в рамках формирования инжинирингового дивизиона Госкорпорации «Росатом» путем объединения ведущих компаний отрасли: АО ИК «АСЭ», АО «Атомстройэкспорт», АО «Атомэнергопроект» и АО «АТОМПРОЕКТ».Группа компаний АSE является одним из лидеров мирового атомного инжинирингового бизнеса, занимая 31% глобального рынка сооружения АЭС. Представительства, филиалы и операционные офисы действуют на территории 15 стран. Почти 80% портфеля заказов приходится на проекты за рубежом.Реализует проекты по проектированию и сооружению АЭС большой мощности, объектов по обращению с РАО и ОЯТ, объектов теплоэнергетики, а также оказывает полный спектр услуг EPC, EPC(M) и PMC услуг для любых сложных инженерных объектов. Группа компаний АSE является разработчиком и активно внедряет инновационную систему управления проектами по сооружению сложных инженерных объектов – Multi-D, позволяющую более эффективно управлять такими параметрами, как бюджет, сроки, качество. Президент Группы компаний ASE - доктор экономических наук Валерий Игоревич Лимаренко.Сайты: www.niaep.ru; www.atomstroyexport.ru; www.aep.ru; www.atomproekt.com",,
3,http://archive.aep.ru/wps/wcm/connect/aep/main/presscenter/nnews/672e1b8044188fad9c82fdb67c956ab4,На четвертом энергоблоке Ростовской АЭС началась проверка Ростехнадзора перед энергопуском,2018-01-16 11:57:17,"Комиссия Федеральной службы по экологическому, технологическому и атомному надзору (Ростехнадзор) начала проверку энергоблока № 4 Ростовской АЭС (г. Волгодонск, филиал Концерна «Росэнергоатом, входит в Электроэнергетический дивизион «Росатома») перед решающей стадией пусковых операций – энергетическим пуском. Генеральный проектировщик и генеральный подрядчик сооружения энергоблоков Ростовской АЭС - Группа компаний ASE, инжиниринговый дивизион Госкорпорации «Росатом».В настоящее время специалисты надзорного органа проверяют отчетную документацию о проведенных на этапе физического пуска энергоблока №4 испытаниях и об устранении ранее выданных замечаний.«После завершения всех этапов физпуска энергоблока №4 необходимо получение разрешения Ростехнадзора на начало энергетического пуска. Поэтому в рамках проверки Ростехнадзора сейчас на станции начинает работу комиссия Энергонадзора (подразделение Ростехнадзора), которая проверит устранение ранее выданных замечаний. По результатам этой проверки и будет выдано разрешение на подключение энергоустановки к единой энергосистеме страны», - рассказал главный инженер Ростовской АЭС Андрей Горбунов. Напомним, что операции по физическому пуску на энергоблоке №4 Ростовской АЭС начались 6 декабря 2017 года с загрузки ядерного топлива в реактор. В течение 5 суток  все 163 тепловыделяющие сборки были установлены на штатные места, а 29 декабря энергоблок №4 был выведен на МКУ. Сегодня Ростовская АЭС является одним из самых крупных предприятий энергетической отрасли Ростовской области и Юга страны. Пуск энергоблока №4 с реактором ВВЭР-1000 позволит устойчиво обеспечивать энергоснабжение всего южного региона России. При этом сама Ростовская область войдёт в десятку российских регионов-лидеров по объёму генерации. Сейчас станция обеспечивает около половины производства электроэнергии в регионе.
Группа компаний АSE (www.niaep.ru; www.atomstroyexport.ru; www.aep.ru; www.atomproekt.com) создана в рамках формирования инжинирингового дивизиона Госкорпорации «Росатом» путем объединения ведущих компаний отрасли: АО ИК «АСЭ», АО «Атомстройэкспорт»,  АО «Атомэнергопроект» и АО «АТОМПРОЕКТ». Группа компаний АSE является одним из лидеров мирового атомного инжинирингового бизнеса, занимая 31%  глобального рынка сооружения АЭС. Представительства, филиалы и операционные офисы действуют на территории 15 стран. Почти 80% портфеля заказов приходится на проекты за рубежом.
Ростовская АЭС является филиалом АО «Концерн Росэнергоатом»  (входит в крупнейший дивизион Госкорпорации «Росатом» «Электроэнергетический»). Предприятие  расположено на берегу Цимлянского водохранилища в 13,5 км от г. Волгодонска. На АЭС эксплуатируются реакторы типа ВВЭР-1000 с установленной мощностью 1000 МВт. Энергоблок № 1 введен в промышленную эксплуатацию в 2001 году, энергоблок №2 – в 2010 году, энергоблок №3 принят в промышленную эксплуатацию 17 сентября 2015 года. 6 декабря 2017 года осуществлен физпуск энергоблока №4. Генеральный проектировщик и генеральный подрядчик сооружения энергоблоков Ростовской АЭС - Группа компаний ASE, инжиниринговый дивизион «Росатома».Подробная и оперативная информация о радиационной обстановке вблизи АЭС России и других объектов атомной отрасли представлена на сайте www.russianatоm.ru. 
Управление коммуникаций Группы компаний АSEУправление информации и общественных связей Ростовской АЭС",,
4,http://archive.aep.ru/wps/wcm/connect/aep/main/presscenter/nnews/61433e00440310729a67fe877c5f36d8,Состоялся энергопуск блока №3 АЭС «Тяньвань»,2017-12-30 14:52:31,"30 декабря 2017 года в 13:29 по московскому времени, состоялся энергетический пуск энергоблока №3 АЭС «Тяньвань» (ТАЭС), сооружаемой в Китае по российскому проекту с реакторами ВВЭР-1000. Строительство второй очереди ТАЭС, включая энергоблок №3, осуществляется при участии специалистов Группы компаний ASE (входит в состав инжинирингового дивизиона Госкорпорации «Росатом»). Блок выдал первые киловатты электроэнергии в энергосистему страны.В соответствии с полученным разрешением от китайского регулятора, реакторная установка третьего энергоблока была выведена на уровень  мощности в 25%, после чего был осуществлен толчок турбины, проведены электрические испытания системы возбуждения и выдачи мощности. Итогом работы стало подключение блока к энергосистеме. Все системы энергоблока отработали в штатном проектном режиме.«Энергетический пуск третьего блока Тяньваньской АЭС - событие мирового значения и очередной шаг на пути укрепления Российско-Китайского сотрудничества. Строительство третьего и четвертого энергоблоков ТАЭС осуществляется в рекордные сроки и может служить отличным примером международной энергетической кооперации. Мы всецело приветствуем инициативы китайских партнеров развивать технологии в области мирного использования атома и будем рады оказать поддержку в реализации новых совместных проектов», - отметил первый заместитель генерального директора - директор блока по развитию и международному бизнесу Госкорпорации «Росатом» Кирилл Комаров.Следующим шагом станет проверка работы реактора на уровне мощности в 200 МВт. После этого будут проведены динамические испытания на уровнях  мощности в 50%, 75% и 100%. После успешного проведения испытаний на 100-процентном уровне мощности пройдут демонстрационные испытания непрерывной работы энергоблока при номинальной нагрузке в течение 100 часов. По завершении испытаний пройдет предварительная приемка энергоблока, что станет точкой отсчета двухгодичного гарантийного периода эксплуатации блока №3 АЭС «Тяньвань».«Третий блок пущен  через пять лет после начала строительства. Проект строительства и ввода в эксплуатацию второй очереди ТАЭС по финансовым, временным и качественным показателям реализуется отлично. И это дает нам право говорить о начале серийной реализации проектов Росатома и подтверждает лидерство отечественных технологий на мировом рынке сооружения АЭС. Первые два блока Тяньваньской АЭС, построенные нами в сотрудничестве с китайскими коллегами, уже успели доказать свою эффективность и безопасность. Мы уверены, что и вторая очередь станции будет работать также стабильно и надежно», – заявил президент Группы компаний ASE Валерий Лимаренко.
Справочно:
Тяньваньская АЭС — самый крупный объект российско-китайского экономического сотрудничества. Пуск энергоблоков №1 и №2 состоялся в 2007 г. Ежегодно на первой очереди Тяньваньской АЭС вырабатывается свыше 15 млрд. кВт/час электроэнергии. Начало промышленной эксплуатации энергоблока №3 Тяньваньской АЭС запланировано на 2018 год.Сотрудничество по сооружению второй очереди - блоков №3 и №4 Тяньваньской АЭС - осуществляется на основе Протокола между Правительством Российской Федерации и Правительством Китайской Народной Республики. В основу сооружения Тяньваньской АЭС был положен российский проект АЭС-91 с реактором типа ВВЭР-1000, который полностью удовлетворяет требованиям современных нормативно-технических документов Китая, Российской Федерации и МАГАТЭ. Сооружение Тяньваньской атомной электростанции осуществляется Цзянсуской ядерной энергетической корпорацией (JNPC) совместно с российской компанией «Атомстройэкспорт», входящей в состав Группы компаний ASE.
 ",,
5,http://archive.aep.ru/wps/wcm/connect/aep/main/presscenter/nnews/89c8ae8043dec92b90c2b2c5d2e7436c,Открыта мемориальная доска в честь инженера-атомщика Юрия Иванова,2017-12-28 16:13:24,"28 декабря состоялась торжественная церемония открытия мемориальной доски, увековечивающей память о выдающемся инженере-атомщике Юрии Алексеевиче Иванове. Доска установлена на здании инжиниринговой компании «АСЭ» в Нижнем Новгороде. В церемонии приняли участие коллеги и друзья известного проектировщика, представители общественности и СМИ.Юрий Иванов более 40 лет своей жизни посвятил работе в атомной отрасли, пройдя путь от рядового специалиста до  старшего вице-президента по проектированию АО ИК «АСЭ». Он внес большой личный вклад в укрепление лидерских позиций инжинирингового дивизиона Госкорпорации «Росатом» на международном рынке. Им была разработана и внедрена новая технология проектирования, объединяющая в себе методологические подходы и современные информационные технологии, создающие единое информационное пространство управления жизненным циклом АЭС.  Под непосредственным руководством Юрия Иванова была внедрена инновационная система управления проектами по сооружению сложных инженерных объектов – Multi-D, являющаяся ключевым конкурентным преимуществом инжинирингового дивизиона.«Это был очень вдумчивый и талантливый  проектировщик.  То, что атомные станции, построенные по российским проектам, во всем мире признаются одними из самых надежных и безопасных, в том числе личная заслуга Юрия Алексеевича Иванова. Он был не только Профессионалом с большой буквы, но и настоящим наставником и учителем, щедро передавшим свой опыт молодому поколению», - подчеркнул в своей речи старший вице-президент - директор по проектированию АО ИК «АСЭ» Рубен Топчиян. Много теплых слов о Юрии Иванове прозвучало от его учеников, тех, кому посчастливилось работать под его руководством.  «Я один из представителей той молодежи, которую он вырастил. Благодаря Юрию Алексеевичу я и десятки моих коллег стали настоящими профессионалами, нашли свое место в жизни.  Именно он научил нас работать, - отметил директор Нижегородского проектного института  Игорь Бронников. - Я вспоминаю его как наставника, который не только учил нас решать сложные технические задачи, но и всегда готов был помочь мудрым советом».Уход из жизни Юрия Иванова в 2017 году стал большой потерей для инжинирингового дивизиона Госкорпорации «Росатом», и для всей российской  атомной отрасли. 
Управление коммуникаций Группы компаний ASECправка:Группа компаний АSE создана в рамках формирования инжинирингового дивизиона Госкорпорации «Росатом» путем объединения ведущих компаний отрасли: АО ИК «АСЭ», АО «Атомстройэкспорт»,  АО «Атомэнергопроект» и АО «АТОМПРОЕКТ». Группа компаний АSE является одним из лидеров мирового атомного инжинирингового бизнеса, занимая 31%  глобального рынка сооружения АЭС. Представительства, филиалы и операционные офисы действуют на территории 15 стран. Почти 80% портфеля заказов приходится на проекты за рубежом.Реализует проекты по проектированию и сооружению АЭС большой мощности, объектов  по обращению с РАО и ОЯТ, объектов теплоэнергетики, а также оказывает полный спектр услуг EPC, EPC(M) и PMC услуг для любых сложных инженерных объектов. Группа компаний АSE является разработчиком и активно внедряет инновационную систему управления проектами по сооружению сложных инженерных объектов – Multi-D, позволяющую более эффективно управлять такими параметрами, как бюджет, сроки, качество. Президент Группы компаний ASE -  доктор экономических наук Валерий Игоревич Лимаренко.Сайты: www.niaep.ru; www.atomstroyexport.ru; www.aep.ru; www.atomproekt.com",,
6,http://archive.aep.ru/wps/wcm/connect/aep/main/presscenter/nnews/fc2e858043dec87c9082b2c5d2e7436c,Сотрудникам Группы компаний ASE вручены государственные награды,2017-12-28 16:12:09,"За большой вклад в развитие атомной отрасли и многолетнюю добросовестную работу сотрудники  Группы компаний ASE (Инжиниринговый дивизион Росатома) отмечены государственными наградами.Указом Президента Российской Федерации от 2 ноября 2017 года вице-президент АО «Атомстройэкспорт» Юрий Иванов награжден Орденом Дружбы.  Атомщик с 45-летним стажем, опытный  менеджер Юрий Иванов много лет руководит проектами по сооружению АЭС в Китайской Народной Республике. После успешного ввода в эксплуатацию энергоблоков № 1 и 2 Тяньваньской АЭС (ТАЭС) он стал одним из главных организаторов подготовки и подписания контрактов на сооружение  энергоблоков № 3 и 4.  В ближайшее время состоится включение в сеть третьего энергоблока, физпуск которого состоялся менее чем через пять лет после начала строительства, что стало рекордом в новейшей истории российской атомной отрасли.Начальнику отдела электротехнического оборудования АО «Атомстройэкспорт» Игорю Якимову вручена медаль  «За заслуги в освоении атомной энергии» (Указ Президента РФ  от 16.09.2017).  С 2004 года он возглавляет электротехническое направление на строительстве энергоблоков  № 1-4 АЭС «Куданкулам» в Индии.  Под его руководством на АЭС «Куданкулам» введена в эксплуатацию современная цифровая система релейной защиты, контроля и управления электротехническим оборудованием, которая успешно применяется при реализации проектов строительства атомных энергоблоков в России и за рубежом.Начальник  управления по строительству АЭС в Иране АО «Атомстройэкспорт»  Александр  Шевырев награжден  Почетной  грамотой  Президента Российской федерации  (Распоряжение Президента РФ от 24.10.2017 ). С 2009 года он  работает в проекте  АЭС «Бушер» в Иране: над завершением  сооружения энергоблока № 1 и реализацией контракта на строительство энергоблоков № 2 и № 3.
Cправка:Группа компаний АSE создана в рамках формирования инжинирингового дивизиона Госкорпорации «Росатом» путем объединения ведущих компаний отрасли: АО ИК «АСЭ», АО «Атомстройэкспорт»,  АО «Атомэнергопроект» и АО «АТОМПРОЕКТ». Группа компаний АSE является одним из лидеров мирового атомного инжинирингового бизнеса, занимая 31%  глобального рынка сооружения АЭС. Представительства, филиалы и операционные офисы действуют на территории 15 стран. Почти 80% портфеля заказов приходится на проекты за рубежом.Реализует проекты по проектированию и сооружению АЭС большой мощности, объектов  по обращению с РАО и ОЯТ, объектов теплоэнергетики, а также оказывает полный спектр услуг EPC, EPC(M) и PMC услуг для любых сложных инженерных объектов. Группа компаний АSE является разработчиком и активно внедряет инновационную систему управления проектами по сооружению сложных инженерных объектов – Multi-D, позволяющую более эффективно управлять такими параметрами, как бюджет, сроки, качество. Президент Группы компаний ASE -  доктор экономических наук Валерий Игоревич Лимаренко.Сайты: www.niaep.ru; www.atomstroyexport.ru; www.aep.ru; www.atomproekt.com",,
7,http://archive.aep.ru/wps/wcm/connect/aep/main/presscenter/nnews/38b9a68043db7e828bceabc5d2e7436c,Ростовская АЭС: на новом энергоблоке №4 завершены гидроиспытания реакторной установки,2017-12-27 14:29:12,"В реакторном отделении нового энергоблока №4 Ростовской АЭС (Генеральный проектировщик и генеральный подрядчик сооружения энергоблоков Ростовской АЭС - Группа компаний ASE, инжиниринговый дивизион «Росатом») завершены гидравлические испытания в рамках этапа «физический пуск». «Все гидроиспытания, необходимые для вывода реакторной установки энергоблока №4 на минимально контролируемый уровень мощности (МКУ) успешно проведены. Работа систем и оборудования соответствует проектным характеристикам», – подчеркнул вице-президент по проектам в России АО ИК «АСЭ» Алексей Дерий.В ходе гидроиспытаний специалисты проверили работу главных циркуляционных насосов и другого оборудования 1-го и 1-го контуров реакторной установки на рабочих параметрах. По словам  начальника реакторного цеха 2-ой очереди Ростовской АЭС Олега Высоцкого, завершение гидравлических испытаний реакторной установки энергоблока №4 позволяет приступить ко второму и одному из ключевых подэтапов программы физпуска – выводу реактора на минимально контролируемый уровень мощности (МКУ). «В настоящее время специалисты ведут подготовку к началу этого процесса», – отметил О.Высоцкий.В период работы реактора на МКУ, в соответствии с регламентом, специалисты атомщики проведут замеры фактических нейтронно-физических характеристик активной зоны реактора для подтверждения соответствия проектным параметрам и правильности функционирования систем управления и защиты реактора.После проведения ряда физических испытаний на подэтапе вывода реакторной установки на МКУ, программа физического пуска энергоблока №4 будет завершена. Напомним, этап физпуска реактора блока №4 РоАЭС начался 6 декабря т.г.. Решение о готовности энергоблока №4 к программе физпуска было принято по итогам целевой инспекции Ростехнадзора, в ходе которой была проверена готовность технологических систем и оборудования объекта, персонала четвертого энергоблока, эксплуатационной документации к проведению этой операции.В процессе физического пуска определяются характеристики активной зоны, необходимые при эксплуатации реактора. После завершения этапа физпуска энергоблока №4 начнется решающая стадия пусковых операций – энергетический пуск и начало подачи электроэнергии потребителям, которые запланированы на следующий, 2018 год.
Ростовская АЭС Ростовская АЭС является филиалом АО «Концерн Росэнергоатом»  (входит в крупнейший дивизион Госкорпорации «Росатом» «Электроэнергетический»). Предприятие  расположено на берегу Цимлянского водохранилища в 13,5 км от г. Волгодонска. На АЭС эксплуатируются реакторы типа ВВЭР-1000 с установленной мощностью 1000 МВт. Энергоблок № 1 введен в промышленную эксплуатацию в 2001 году, энергоблок №2 – в 2010 году, энергоблок №3 принят в промышленную эксплуатацию 17 сентября 2015 года. 6 декабря 2017 года осуществлен физпуск энергоблока №4. Подробная и оперативная информация о радиационной обстановке вблизи АЭС России и других объектов атомной отрасли представлена на сайте www.russianatоm.ru. 
Группа компаний АSE (www.niaep.ru; www.atomstroyexport.ru; www.aep.ru; www.atomproekt.com) создана в рамках формирования инжинирингового дивизиона Госкорпорации «Росатом» путем объединения ведущих компаний отрасли: АО ИК «АСЭ», АО «Атомстройэкспорт»,  АО «Атомэнергопроект» и АО «АТОМПРОЕКТ». Группа компаний АSE является одним из лидеров мирового атомного инжинирингового бизнеса, занимая 31%  глобального рынка сооружения АЭС. Представительства, филиалы и операционные офисы действуют на территории 15 стран. Почти 80% портфеля заказов приходится на проекты за рубежом.
Управление коммуникаций Группы компаний ASEУправление информации и общественных связей Ростовской АЭС",,
8,http://archive.aep.ru/wps/wcm/connect/aep/main/presscenter/nnews/83ce7c0043db1d1fbe63fe877c5f36d8,В Нижнем Новгороде будет увековечена память о выдающемся инженере-атомщике Юрии Иванове,2017-12-27 11:30:45,"На здании инжиниринговой компании «АСЭ» в Нижнем Новгороде будет установлена мемориальная доска, увековечивающая память о выдающемся инженере-атомщике Юрии Алексеевиче Иванове.Торжественное открытие мемориальной доски состоится 28 декабря в 11:00.Вице-президент по проектированию инжиниринговой компании «АСЭ» (АО ИК «АСЭ») Юрий Иванов больше 40 лет проработал в атомной отрасли. При его непосредственном руководстве проектным блоком с опережением сроков в рамках программы развития энергетики Российской Федерации  были реализованы крупнейшие инвестиционные проекты - осуществлены пуски энергоблока №4  на Калининской АЭС и  №3 на Ростовской АЭС. Он лично руководил  проектами  по сооружению  Белорусской АЭС и  Курской АЭС-2.Юрий  Иванов внес существенный личный вклад в работу по подписанию контракта на строительство новых энергоблоков на площадке «Бушер-2». Благодаря его умению всегда добиваться намеченных целей в рекордно короткие сроки была завершена первая стадия инженерно-изыскательских работ на будущей площадке АЭС и проведены подготовительные работы по своевременному развертыванию деятельности в рамках контракта на сооружение энергоблоков № 2 и № 3 иранской станции. Юрий Иванов внес большой личный вклад в укрепление позиции инжинирингового дивизиона Госкорпорации «Росатом» как признанного мирового лидера на рынке атомного инжиниринга. Им была разработана и внедрена новая технология проектирования, объединяющая в себе методологические подходы и современные информационные технологии, создающие единое информационное пространство управления жизненным циклом АЭС. Данная система управления проектами  была признана руководством  Госкорпорации «Росатом» успешной и Юрию Иванову  было поручено внедрить новую технологию во всех  отраслевых институтах,  занятых проектированием атомных станций. На счету Юрия Иванова внедрение интеллектуального 3D-проектирования и в целом  инновационной системы управления проектами по сооружению сложных инженерных объектов – Multi-D, являющейся ключевым конкурентным преимуществом инжинирингового дивизиона. Для обмена опытом по информационным технологиям Юрий  Иванов инициировал создание Ассоциации инновационного проектирования Клуба 3D.Неоценима роль Юрия Иванова в подготовке и воспитании квалифицированных кадров отрасли. Многие сотрудники, работавшие под его непосредственным руководством, в настоящее время осуществляют руководство важнейшими проектами.  Уход из жизни Юрия Иванова в 2017 году стал большой потерей для отрасли.",,
